removed_period,removed_return,remaining_multiple,remaining_cagr_same_window
2020-03-23->2020-09-21 AAPL,0.97133294,11.011400476840375,0.2596321162073765
2023-09-18->2024-03-18 META,0.64438045,13.200799410821954,0.28180396201926206
2025-03-24->2025-09-22 NVDA,0.51250398,14.351788003577445,0.2921557640509054
2024-03-18->2024-09-23 NVDA,0.31456102,16.51284051882745,0.3097127243047997
2026-03-23->2026-08-12 NVDA,0.27733529,16.994078724253473,0.3133377988877353
2017-09-18->2018-03-19 MSFT,0.24793823,17.394399781732098,0.31628332715374863
2018-03-19->2018-09-24 MSFT,0.24459303,17.441152209832914,0.31662332197111653
2020-09-21->2021-03-22 MSFT,0.1708936,18.538948778545837,0.32437894945985146
2023-03-20->2023-09-18 XOM,0.16772606,18.58923699581316,0.32472418599107433
2021-03-22->2021-09-20 AAPL,0.16214641,18.678486883186377,0.325334827438019
2022-09-19->2023-03-20 XOM,0.11662464,19.439958333291965,0.33044013683744056
2016-09-19->2017-03-20 JNJ,0.10324874,19.675650366504964,0.3319837281221598
2016-03-21->2016-09-19 MSFT,0.07102667,20.267596581443804,0.33578802286743925
2024-09-23->2025-03-24 AMZN,0.04838039,20.705401095424097,0.3385376149135979
2017-03-20->2017-09-18 JPM,0.04374056,20.797444602063887,0.3391089940096941
2018-09-24->2019-03-18 MSFT,0.03411695,20.990987987893572,0.3403030369223199
2019-03-18->2019-09-23 AMZN,0.02476826,21.18248322359939,0.3414746911524702
2019-09-23->2020-03-23 MSFT,-0.01670702,22.075959980439542,0.34681793770515545
2021-09-20->2022-03-21 GOOGL,-0.01887259,22.124686614888414,0.3471036823014175
2025-09-22->2026-03-23 AVGO,-0.04423112,22.7117004223104,0.35050209313182235
2022-03-21->2022-09-19 GOOGL,-0.24269744,28.663756894638173,0.3810877802718853
